"","time","steps","date","wday","hour","minute","month"
"366",2015-01-04 19:15:00,0,"2015-01-04","Sun",19,15,1
"367",2015-01-04 19:30:00,0,"2015-01-04","Sun",19,30,1
"368",2015-01-04 19:45:00,0,"2015-01-04","Sun",19,45,1
"369",2015-01-04 20:00:00,0,"2015-01-04","Sun",20,0,1
"370",2015-01-04 20:15:00,0,"2015-01-04","Sun",20,15,1
"371",2015-01-04 20:30:00,0,"2015-01-04","Sun",20,30,1
"372",2015-01-04 20:45:00,0,"2015-01-04","Sun",20,45,1
"373",2015-01-04 21:00:00,0,"2015-01-04","Sun",21,0,1
"374",2015-01-04 21:15:00,0,"2015-01-04","Sun",21,15,1
"375",2015-01-04 21:30:00,0,"2015-01-04","Sun",21,30,1
"376",2015-01-04 21:45:00,0,"2015-01-04","Sun",21,45,1
"377",2015-01-04 22:00:00,0,"2015-01-04","Sun",22,0,1
"378",2015-01-04 22:15:00,0,"2015-01-04","Sun",22,15,1
"379",2015-01-04 22:30:00,0,"2015-01-04","Sun",22,30,1
"380",2015-01-04 22:45:00,0,"2015-01-04","Sun",22,45,1
"381",2015-01-04 23:00:00,0,"2015-01-04","Sun",23,0,1
"382",2015-01-04 23:15:00,0,"2015-01-04","Sun",23,15,1
